20800;66840;129560;222900;286190;391020;4198950;7273100;14775900;25749370;
6160;33250;57330;105180;159810;253010;3374640;10787870;34340740;49985020;
8200;24580;54030;102130;154470;278540;3526640;12007460;28971440;48394550;
3290;3760;5260;6400;7470;8320;25580;44530;46130;82260;
8900;12180;15060;18540;20850;24590;73480;101000;197970;257400;
19110;40370;64920;92980;127030;163080;701400;1251490;1826290;2478150;
28110;71110;115870;224480;289450;272440;1215710;2549580;5359030;6695140;
113350;124850;210710;229510;316490;409310;1606660;3046370;3262760;3863100;
8220;27480;54710;87430;122850;170640;1840930;6218910;12245840;24351710;
5530;22900;53220;102620;161670;248500;3844070;12744980;22222910;40475420;
5010;34270;66550;97110;183750;313710;3918750;11603150;22286850;40173390;
18460;21480;20530;24300;22450;26480;31960;48670;54080;64760;
5800;7650;9420;11240;12970;14760;41360;74970;111780;143960;
8870;20600;34350;47870;66250;79690;366290;864770;1366870;2206890;
39340;96830;180920;229180;312780;376400;2189530;4129560;4659900;6266220;
38720;75730;118520;173020;219600;287690;857420;1595960;2375380;3035930;
4680;13350;34560;50100;77170;110170;1504160;6765630;18294970;25485640;
4680;13220;31440;51900;83560;119710;1928280;7270280;12881540;20028290;
510;610;720;1100;1540;1500;8130;1149890;9169990;20423460;
3250;4320;8050;7230;7880;9270;52410;84510;95580;109010;
5280;7730;10900;13620;15470;16590;48100;93410;132980;171300;
5380;9530;14130;19670;23500;31130;131400;329870;508900;436300;
41240;81700;133200;189580;294930;312210;1397900;2864670;4415740;9020340;
60070;116660;114830;152120;185690;253090;878120;1724570;3363500;3698360;
8330;22970;46800;68910;103030;149350;1681910;6036330;12210970;22193820;
6760;25070;57010;131600;173990;276830;3794090;11831040;25044430;45052830;
7850;32080;66700;113150;169480;246270;4706580;13060280;25613040;48443340;
23090;23650;28170;26580;26650;27730;35810;52900;70170;81030;
5710;8110;9950;11760;13380;15120;42780;77180;119310;156760;
6400;12760;17700;25940;28230;36540;132490;250930;426950;487950;
25380;62530;122820;146350;193820;250990;1315120;2830150;6234970;6820000;
46220;93560;142720;203220;249820;375970;1470450;2632910;2703180;3389480;
